chrom	start	end	GC
chr17	0	100000	0.465225
chr17	100000	200000	0.50616
chr17	200000	300000	0.53088
chr17	300000	400000	0.52849
chr17	400000	500000	0.49760618288762737
chr17	500000	600000	0.4707
chr17	600000	700000	0.45011
chr17	700000	800000	0.48344
chr17	800000	900000	0.51661
chr17	900000	1000000	0.50201
chr17	1000000	1100000	0.56753
chr17	1100000	1200000	0.54887
chr17	1200000	1300000	0.5253
chr17	1300000	1400000	0.46834
chr17	1400000	1500000	0.53044
chr17	1500000	1600000	0.52384
chr17	1600000	1700000	0.52756
chr17	1700000	1800000	0.53641
chr17	1800000	1900000	0.44729
chr17	1900000	2000000	0.53276
chr17	2000000	2100000	0.55138
chr17	2100000	2200000	0.44901
chr17	2200000	2300000	0.44018
chr17	2300000	2400000	0.52674
chr17	2400000	2500000	0.45294
chr17	2500000	2600000	0.46298
chr17	2600000	2700000	0.44786
chr17	2700000	2800000	0.54111
chr17	2800000	2900000	0.5157
chr17	2900000	3000000	0.49881
chr17	3000000	3100000	0.45544
chr17	3100000	3200000	0.41181
chr17	3200000	3300000	0.40868
chr17	3300000	3400000	0.41129
chr17	3400000	3500000	0.4003
chr17	3500000	3600000	0.51244
chr17	3600000	3700000	0.53956
chr17	3700000	3800000	0.50352
chr17	3800000	3900000	0.50972
chr17	3900000	4000000	0.54506
chr17	4000000	4100000	0.45137
chr17	4100000	4200000	0.46839
chr17	4200000	4300000	0.42559
chr17	4300000	4400000	0.445
chr17	4400000	4500000	0.51923
chr17	4500000	4600000	0.56584
chr17	4600000	4700000	0.48149
chr17	4700000	4800000	0.50624
chr17	4800000	4900000	0.52426
chr17	4900000	5000000	0.52816
chr17	5000000	5100000	0.49614
chr17	5100000	5200000	0.46419
chr17	5200000	5300000	0.46332
chr17	5300000	5400000	0.41401
chr17	5400000	5500000	0.44036
chr17	5500000	5600000	0.46931
chr17	5600000	5700000	0.46598
chr17	5700000	5800000	0.45841
chr17	5800000	5900000	0.44107
chr17	5900000	6000000	0.44701
chr17	6000000	6100000	0.48428
chr17	6100000	6200000	0.46412
chr17	6200000	6300000	0.46451
chr17	6300000	6400000	0.44608
chr17	6400000	6500000	0.52103
chr17	6500000	6600000	0.48487
chr17	6600000	6700000	0.46175
chr17	6700000	6800000	0.44654
chr17	6800000	6900000	0.4199
chr17	6900000	7000000	0.43254
chr17	7000000	7100000	0.49923
chr17	7100000	7200000	0.49545
chr17	7200000	7300000	0.53996
chr17	7300000	7400000	0.53947
chr17	7400000	7500000	0.54468
chr17	7500000	7600000	0.50717
chr17	7600000	7700000	0.49605
chr17	7700000	7800000	0.49599
chr17	7800000	7900000	0.50921
chr17	7900000	8000000	0.47819
chr17	8000000	8100000	0.51097
chr17	8100000	8200000	0.52663
chr17	8200000	8300000	0.50264
chr17	8300000	8400000	0.48977
chr17	8400000	8500000	0.45371
chr17	8500000	8600000	0.41172
chr17	8600000	8700000	0.43657
chr17	8700000	8800000	0.46138
chr17	8800000	8900000	0.48604
chr17	8900000	9000000	0.4444
chr17	9000000	9100000	0.47299
chr17	9100000	9200000	0.5027
chr17	9200000	9300000	0.50414
chr17	9300000	9400000	0.43183
chr17	9400000	9500000	0.43395
chr17	9500000	9600000	0.42066
chr17	9600000	9700000	0.43295
chr17	9700000	9800000	0.4549
chr17	9800000	9900000	0.45519
chr17	9900000	10000000	0.48939
chr17	10000000	10100000	0.47234
chr17	10100000	10200000	0.48192
chr17	10200000	10300000	0.44008
chr17	10300000	10400000	0.4457
chr17	10400000	10500000	0.3753
chr17	10500000	10600000	0.39822
chr17	10600000	10700000	0.45146
chr17	10700000	10800000	0.44657
chr17	10800000	10900000	0.45803
chr17	10900000	11000000	0.41598
chr17	11000000	11100000	0.41997
chr17	11100000	11200000	0.41368
chr17	11200000	11300000	0.44941
chr17	11300000	11400000	0.42766
chr17	11400000	11500000	0.43477
chr17	11500000	11600000	0.43395
chr17	11600000	11700000	0.42289
chr17	11700000	11800000	0.42517
chr17	11800000	11900000	0.42274
chr17	11900000	12000000	0.43388
chr17	12000000	12100000	0.3818
chr17	12100000	12200000	0.38325
chr17	12200000	12300000	0.42302
chr17	12300000	12400000	0.3959
chr17	12400000	12500000	0.39628
chr17	12500000	12600000	0.38452
chr17	12600000	12700000	0.41402
chr17	12700000	12800000	0.42415
chr17	12800000	12900000	0.40475
chr17	12900000	13000000	0.45475
chr17	13000000	13100000	0.44287
chr17	13100000	13200000	0.39403
chr17	13200000	13300000	0.38702
chr17	13300000	13400000	0.39267
chr17	13400000	13500000	0.39595
chr17	13500000	13600000	0.40482
chr17	13600000	13700000	0.39288
chr17	13700000	13800000	0.3942
chr17	13800000	13900000	0.40672
chr17	13900000	14000000	0.4226
chr17	14000000	14100000	0.40305
chr17	14100000	14200000	0.3764
chr17	14200000	14300000	0.43125
chr17	14300000	14400000	0.43934
chr17	14400000	14500000	0.40702
chr17	14500000	14600000	0.41028
chr17	14600000	14700000	0.38492
chr17	14700000	14800000	0.41379
chr17	14800000	14900000	0.38519
chr17	14900000	15000000	0.40335
chr17	15000000	15100000	0.40783
chr17	15100000	15200000	0.41688
chr17	15200000	15300000	0.42443
chr17	15300000	15400000	0.41693
chr17	15400000	15500000	0.45845
chr17	15500000	15600000	0.42672
chr17	15600000	15700000	0.45249
chr17	15700000	15800000	0.44438
chr17	15800000	15900000	0.43256
chr17	15900000	16000000	0.46899
chr17	16000000	16100000	0.40126
chr17	16100000	16200000	0.38829
chr17	16200000	16300000	0.43848
chr17	16300000	16400000	0.46475
chr17	16400000	16500000	0.52385
chr17	16500000	16600000	0.43425
chr17	16600000	16700000	0.40284
chr17	16700000	16800000	0.38522
chr17	16800000	16900000	0.51244
chr17	16900000	17000000	0.48867
chr17	17000000	17100000	0.50588
chr17	17100000	17200000	0.52149
chr17	17200000	17300000	0.47899
chr17	17300000	17400000	0.50396
chr17	17400000	17500000	0.49131
chr17	17500000	17600000	0.54974
chr17	17600000	17700000	0.5075
chr17	17700000	17800000	0.56428
chr17	17800000	17900000	0.54013
chr17	17900000	18000000	0.47672
chr17	18000000	18100000	0.4767
chr17	18100000	18200000	0.54429
chr17	18200000	18300000	0.54143
chr17	18300000	18400000	0.51056
chr17	18400000	18500000	0.49981
chr17	18500000	18600000	0.40045
chr17	18600000	18700000	0.43108
chr17	18700000	18800000	0.44181
chr17	18800000	18900000	0.42347
chr17	18900000	19000000	0.51093
chr17	19000000	19100000	0.5324
chr17	19100000	19200000	0.51089
chr17	19200000	19300000	0.48998
chr17	19300000	19400000	0.50731
chr17	19400000	19500000	0.47452
chr17	19500000	19600000	0.47652
chr17	19600000	19700000	0.42552
chr17	19700000	19800000	0.49287
chr17	19800000	19900000	0.43316
chr17	19900000	20000000	0.4269
chr17	20000000	20100000	0.42627
chr17	20100000	20200000	0.41986
chr17	20200000	20300000	0.42869
chr17	20300000	20400000	0.39666
chr17	20400000	20500000	0.46195
chr17	20500000	20600000	0.5004
chr17	20600000	20700000	0.4375
chr17	20700000	20800000	0.41679
chr17	20800000	20900000	0.40047
chr17	20900000	21000000	0.44353
chr17	21000000	21100000	0.47118
chr17	21100000	21200000	0.44763
chr17	21200000	21300000	0.53044
chr17	21300000	21400000	0.54581
chr17	21400000	21500000	0.49169
chr17	21500000	21600000	0.43199
chr17	21600000	21700000	0.46624
chr17	21700000	21800000	0.48519561815336465
chr17	21800000	21900000	0.3924566531201602
chr17	21900000	22000000	0.3893946688843174
chr17	22000000	22100000	0.4186808046156245
chr17	22100000	22200000	0.33501
chr17	22200000	22300000	0.41513
chr17	22300000	22400000	0.47944
chr17	22400000	22500000	0.45487
chr17	22500000	22600000	0.38991
chr17	22600000	22700000	0.36011
chr17	22700000	22800000	0.4109046938551171
chr17	22800000	22900000	0.41007402601916104
chr17	22900000	23000000	0.40979
chr17	23000000	23100000	0.40964
chr17	23100000	23200000	0.4098898898898899
chr17	23200000	23300000	0.40842
chr17	23300000	23400000	0.40852
chr17	23400000	23500000	0.40907
chr17	23500000	23600000	0.40921
chr17	23600000	23700000	0.40915
chr17	23700000	23800000	0.40944
chr17	23800000	23900000	0.40901
chr17	23900000	24000000	0.40839
chr17	24000000	24100000	0.40847
chr17	24100000	24200000	0.40913
chr17	24200000	24300000	0.40886
chr17	24300000	24400000	0.409
chr17	24400000	24500000	0.4094
chr17	24500000	24600000	0.40892
chr17	24600000	24700000	0.40885
chr17	24700000	24800000	0.40938
chr17	24800000	24900000	0.40918
chr17	24900000	25000000	0.40925
chr17	25000000	25100000	0.40926
chr17	25100000	25200000	0.4087
chr17	25200000	25300000	0.40921
chr17	25300000	25400000	0.40906
chr17	25400000	25500000	0.40877
chr17	25500000	25600000	0.40883
chr17	25600000	25700000	0.407957957957958
chr17	25700000	25800000	0.4087587587587588
chr17	25800000	25900000	0.40829
chr17	25900000	26000000	0.40984984984984985
chr17	26000000	26100000	0.40833
chr17	26100000	26200000	0.40914
chr17	26200000	26300000	0.40842
chr17	26300000	26400000	0.40879
chr17	26400000	26500000	0.40874
chr17	26500000	26600000	0.4060180541624875
chr17	26600000	26700000	0.3912354321828102
chr17	26700000	26800000	0.3875845400816459
chr17	26800000	26900000	0.38741819121811366
chr17	26900000	27000000	0.3943611371446423
chr17	27000000	27100000	0.40813
chr17	27100000	27200000	0.37451
chr17	27200000	27300000	0.43285
chr17	27300000	27400000	0.45583
chr17	27400000	27500000	0.48984
chr17	27500000	27600000	0.49284
chr17	27600000	27700000	0.49981
chr17	27700000	27800000	0.47029
chr17	27800000	27900000	0.4456
chr17	27900000	28000000	0.45011
chr17	28000000	28100000	0.39517
chr17	28100000	28200000	0.37422
chr17	28200000	28300000	0.47094
chr17	28300000	28400000	0.48962
chr17	28400000	28500000	0.47605
chr17	28500000	28600000	0.51241
chr17	28600000	28700000	0.47174
chr17	28700000	28800000	0.50541
chr17	28800000	28900000	0.48492
chr17	28900000	29000000	0.50228
chr17	29000000	29100000	0.50849
chr17	29100000	29200000	0.51749
chr17	29200000	29300000	0.43601
chr17	29300000	29400000	0.43873
chr17	29400000	29500000	0.4025
chr17	29500000	29600000	0.48875
chr17	29600000	29700000	0.455
chr17	29700000	29800000	0.40712
chr17	29800000	29900000	0.39744
chr17	29900000	30000000	0.39461
chr17	30000000	30100000	0.39206
chr17	30100000	30200000	0.38881
chr17	30200000	30300000	0.44416
chr17	30300000	30400000	0.41669
chr17	30400000	30500000	0.38517
chr17	30500000	30600000	0.46332
chr17	30600000	30700000	0.46989
chr17	30700000	30800000	0.45993
chr17	30800000	30900000	0.42113
chr17	30900000	31000000	0.46809
chr17	31000000	31100000	0.42873
chr17	31100000	31200000	0.38387
chr17	31200000	31300000	0.36611
chr17	31300000	31400000	0.40007
chr17	31400000	31500000	0.50988
chr17	31500000	31600000	0.51351
chr17	31600000	31700000	0.44596
chr17	31700000	31800000	0.44701
chr17	31800000	31900000	0.45412
chr17	31900000	32000000	0.42803
chr17	32000000	32100000	0.45003
chr17	32100000	32200000	0.44197
chr17	32200000	32300000	0.46109
chr17	32300000	32400000	0.43747
chr17	32400000	32500000	0.45189
chr17	32500000	32600000	0.43758
chr17	32600000	32700000	0.39973
chr17	32700000	32800000	0.38346
chr17	32800000	32900000	0.40501
chr17	32900000	33000000	0.45605
chr17	33000000	33100000	0.45682
chr17	33100000	33200000	0.45255
chr17	33200000	33300000	0.46537
chr17	33300000	33400000	0.44101
chr17	33400000	33500000	0.44114
chr17	33500000	33600000	0.45595
chr17	33600000	33700000	0.43735
chr17	33700000	33800000	0.43596
chr17	33800000	33900000	0.42948
chr17	33900000	34000000	0.44957
chr17	34000000	34100000	0.43076
chr17	34100000	34200000	0.42574
chr17	34200000	34300000	0.42829
chr17	34300000	34400000	0.41767
chr17	34400000	34500000	0.47793
chr17	34500000	34600000	0.48264
chr17	34600000	34700000	0.49512
chr17	34700000	34800000	0.47813
chr17	34800000	34900000	0.48297
chr17	34900000	35000000	0.41852
chr17	35000000	35100000	0.44057
chr17	35100000	35200000	0.47822
chr17	35200000	35300000	0.41876
chr17	35300000	35400000	0.4058
chr17	35400000	35500000	0.41249
chr17	35500000	35600000	0.41695
chr17	35600000	35700000	0.39146
chr17	35700000	35800000	0.48625
chr17	35800000	35900000	0.4411
chr17	35900000	36000000	0.44866
chr17	36000000	36100000	0.42688
chr17	36100000	36200000	0.46721
chr17	36200000	36300000	0.45019
chr17	36300000	36400000	0.46
chr17	36400000	36500000	0.49112
chr17	36500000	36600000	0.45821
chr17	36600000	36700000	0.51274
chr17	36700000	36800000	0.48377
chr17	36800000	36900000	0.50503
chr17	36900000	37000000	0.45279
chr17	37000000	37100000	0.43509
chr17	37100000	37200000	0.39968
chr17	37200000	37300000	0.39388
chr17	37300000	37400000	0.4341
chr17	37400000	37500000	0.43586
chr17	37500000	37600000	0.41516
chr17	37600000	37700000	0.4233
chr17	37700000	37800000	0.46107
chr17	37800000	37900000	0.43334
chr17	37900000	38000000	0.47006
chr17	38000000	38100000	0.466
chr17	38100000	38200000	0.45356
chr17	38200000	38300000	0.43299
chr17	38300000	38400000	0.47138
chr17	38400000	38500000	0.54965
chr17	38500000	38600000	0.54291
chr17	38600000	38700000	0.50283
chr17	38700000	38800000	0.53234
chr17	38800000	38900000	0.49988
chr17	38900000	39000000	0.44414
chr17	39000000	39100000	0.47653
chr17	39100000	39200000	0.51854
chr17	39200000	39300000	0.48253
chr17	39300000	39400000	0.43321
chr17	39400000	39500000	0.45445
chr17	39500000	39600000	0.46644
chr17	39600000	39700000	0.55097
chr17	39700000	39800000	0.49367
chr17	39800000	39900000	0.39604
chr17	39900000	40000000	0.50417
chr17	40000000	40100000	0.52685
chr17	40100000	40200000	0.48936
chr17	40200000	40300000	0.45931
chr17	40300000	40400000	0.51931
chr17	40400000	40500000	0.498
chr17	40500000	40600000	0.47527
chr17	40600000	40700000	0.40754
chr17	40700000	40800000	0.4012
chr17	40800000	40900000	0.39417
chr17	40900000	41000000	0.40769
chr17	41000000	41100000	0.39928
chr17	41100000	41200000	0.39597
chr17	41200000	41300000	0.40314
chr17	41300000	41400000	0.45157
chr17	41400000	41500000	0.47828
chr17	41500000	41600000	0.51558
chr17	41600000	41700000	0.52637
chr17	41700000	41800000	0.52923
chr17	41800000	41900000	0.50019
chr17	41900000	42000000	0.49966
chr17	42000000	42100000	0.51605
chr17	42100000	42200000	0.53315
chr17	42200000	42300000	0.45912
chr17	42300000	42400000	0.46737
chr17	42400000	42500000	0.46257
chr17	42500000	42600000	0.51011
